Country,Continent,Month,Year,Season,Type Shark
Cuba,North America,10,2004,Autumn,Bull
South Africa,Africa,10,2004,Spring,White Shark
Australia,Oceania,9,2004,Spring,Tiger
Brazil,South America,8,2004,Winter,Tiger
South Africa,Africa,6,2004,Winter,White Shark
Brazil,South America,5,2004,Autumn,Bull
New Zealand,Oceania,4,2004,Autumn,White Shark
South Africa,Africa,4,2004,Autumn,White Shark
Brazil,South America,3,2004,Autumn,Bull
Australia,Oceania,1,2004,Summer,White Shark
Uruguay,South America,1,2004,Summer,Tiger
South Africa,Africa,12,2003,Summer,Mako
South Africa,Africa,11,2003,Spring,Tiger
Egypt,Africa,11,2003,Spring,White Shark
South Africa,Africa,11,2003,Spring,White Shark
South Africa,Africa,9,2003,Spring,White Shark
South Africa,Africa,8,2003,Winter,White Shark
Bahamas,North America,7,2003,Summer,Bull
Brazil,South America,4,2003,Autumn,Bull
New Zealand,Oceania,2,2003,Summer,White Shark
Australia,Oceania,2,2003,Summer,Bull
Costa Rica,North America,1,2003,Winter,Bull
South Africa,Africa,12,2002,Summer,White Shark
Australia,Oceania,12,2002,Summer,Bull
Brazil,South America,10,2002,Spring,Tiger
Tonga,Oceania,9,2002,Spring,Tiger
Brazil,South America,9,2002,Spring,Tiger
South Africa,Africa,9,2002,Spring,White Shark
Brazil,South America,7,2002,Winter,Tiger
Australia,Oceania,4,2002,Autumn,White Shark
Bahamas,North America,4,2002,Spring,Bull
Australia,Oceania,1,2002,Summer,Tiger
South Africa,Africa,10,2001,Spring,Mako
Mexico,North America,9,2001,Autumn,Tiger
Australia,Oceania,9,2001,Spring,White Shark
United Kingdom,Europe,9,2001,Autumn,Tiger
Bahamas,North America,8,2001,Summer,Bull
Bahamas,North America,8,2001,Summer,Bull
South Africa,Africa,5,2001,Autumn,White Shark
South Africa,Africa,4,2001,Autumn,White Shark
Australia,Oceania,2,2001,Summer,White Shark
Australia,Oceania,1,2001,Summer,White Shark
